title,location,location_status,status,year,area,bathrooms,bedrooms,heating_type,energy_class,price
Piso ideal para inversores ,Sant Just - Esplugues  Esplugues - Otras ,Bien,Bien,1975,74m²,1,3,Bombadecalor,G,280.000EUR
Fantástico dúplex de 3 habitaciones con terraza ,Les Corts  Les corts ,Excelente,,2016,150m²,3,3,,,495.000EUR
Soleado piso alto reformado en Eixample ,Eixample  Sant Antoni ,,,1975,63m²,1,2,,E,358.000EUR
Estupendo ático con terraza de 30m² ,Sant Just - Esplugues  Esplugues - Otras ,Excelente,Muybien,1969,125m²,2,3,Gas,G,395.000EUR
Piso muy luminoso con vistas al mar! ,SANT MARTIN  La Vila Olímpica del Poblenou ,,,1992,140m²,2,4,Gas,,845.000EUR
Ático dúplex con terraza en Vila de Gràcia ,Gracia  Vila de Gracia ,,Muybien,1910,63m²,1,2,,G,360.000EUR
Fántastico piso reformado en el centro ,Maresme  Arenys de Mar ,Excelente,Excelente,1991,95m²,1,3,Gas,E,225.000EUR
Precioso piso con vistas al mar  Tiana ,Maresme  Tiana ,Muybien,Muybien,2009,79m²,2,3,Gas,E,380.000EUR
Piso alto y soleado cerca de Plaza Kennedy ,Sant Gervasi  Putget ,Muybien,Necesitarenovaciones,1980,100m²,2,4,Gas,,555.000EUR
Luminoso piso con vistas al parque ,Sant Gervasi  Putget ,Excelente,Muybien,1966,100m²,2,3,Gas,,520.000EUR
Amplio piso en La Verneda i La Pau ,SANT MARTIN  La Verneda i la Pau ,,,,127m²,1,2,Gas,,165.000EUR
Piso alto y luminoso en Galvany ,Sant Gervasi  Galvany ,Muybien,Muybien,1964,350m²,5,5,Gas,E,1.995.000EUR
Piso a reformar en Provençals del Poblenou ,SANT MARTIN  Provençals del Poblenou ,,,,67m²,2,3,,,240.000EUR
Piso de tres habitaciones en Eixample Dret ,Eixample  Eixample Dreta ,Excelente,Excelente,1900,156m²,2,3,Gas,E,1.100.000EUR
Apartamento cerca de la playa in Barceloneta ,Ciutat Vella  Barceloneta ,,,1921,44m²,1,2,,,220.000EUR
Céntrico piso funcional en Eixample Esquerra ,Eixample  Eixample Esquerra ,Muybien,Muybien,1981,89m²,2,3,BombadecalorGas,E,399.000EUR
Precioso piso al lado del mar en Barceloneta ,Ciutat Vella  Barceloneta ,Muybien,Bien,1900,32m²,1,1,,E,240.000EUR
Gran piso alto y luminoso en Gràcia ,Gracia  Vila de Gracia ,Excelente,Excelente,1944,123m²,2,3,Gas,E,570.000EUR
Piso Alto y luminoso en la zona de Sants ,Sants - Montjuïc  La Bordeta ,Muybien,Bien,1967,73m²,1,4,,,250.000EUR
Encantador piso a estrenar en Vila de Gràcia ,Gracia  Vila de Gracia ,Excelente,Excelente,1932,79m²,1,3,Gas,E,445.000EUR
Impresionante apartamento frente al mar ,SANT MARTIN  Diagonal Mar i El Front Marítim del Poblenou ,Excelente,Excelente,2009,115m²,2,3,Bombadecalor,E,1.790.000EUR
Bonito apartamento en Diagonal Mar ,SANT MARTIN  Diagonal Mar i El Front Marítim del Poblenou ,Excelente,Excelente,2003,96m²,1,2,,E,595.000EUR
Piso reformado en Hospital Clínic ,Eixample  Eixample Esquerra ,Excelente,,1965,88m²,1,2,,E,395.000EUR
Gran piso en calle Córcega ,Gracia  Camp d'en Grassot ,Excelente,Regular,1959,167m²,2,3,Gas,E,730.000EUR
Exclusiva propiedad junto Av Madrid ,Sants - Montjuïc  SantS ,Excelente,,,146m²,2,4,,,680.000EUR
Piso con piscina y parking  El Masnou ,Maresme  Masnou ,Muybien,Muybien,2006,105m²,2,3,Gas,F,550.000EUR
Acogedor principal con amplia terraza en Londres ,Eixample  Eixample Esquerra ,Excelente,Muybien,1920,221m²,3,4,Gas,,1.350.000EUR
Espectacular piso ideal para Golden Visa ,Eixample  Sagrada Familia ,Excelente,Excelente,1970,103m²,1,2,Gas,,515.000EUR
